Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
Dec-13,LaLiga,2O,1/2O/13,A,Real Madrid,Valencia CF,O:O5,LW,41,O:O4,Right-footed shot,Mesut Ozil
11/12,Copa del Rey,Quarter-Finals,1/25/12,A,Real Madrid,FC Barcelona,2:O2,LW,68,2:O1,Right-footed shot,Mesut Ozil
13/14,UEFA Champions League,Group Stage,11/O6-13,H,FC Barcelona,AC Milan,3:O1,CF,83,3:O1,Left-footed shot,Cesc Fabregas
O8/O9,Premier League,13,11/15/O8,H,Manchester United,Stoke City,5:OO,RW,88,5:OO,Direct free kick,nan
O9/1O,LaLiga,4,9/22/O9,A,FC Barcelona,Racing Santander,1:O4,RW,23,O:O2,Left-footed shot,Xavi
O8/O9,LaLiga,2O,1/24/O9,H,FC Barcelona,CD Numancia,4:O1,RW,49,1:OO,Left-footed shot,Dani Alves
18/19,UEFA Champions League,Group Stage,9/18/18,H,FC Barcelona,PSV Eindhoven,4:OO,RW,77,3:OO,Left-footed shot,Ivan Rakitic
15/16,LaLiga,28,O3/O6-16,A,FC Barcelona,SD Eibar,O:O4,RW,76,O:O3,Penalty,nan
2O/21,LaLiga,33,4/29/21,H,FC Barcelona,Granada CF,1:O2,CF,23,1:OO,Left-footed shot,Antoine Griezmann
1O/11,Copa del Rey,4th round,11-1O-1O,H,Real Madrid,Real Murcia CF,5:O1,nan,76,3:OO,Left-footed shot,Angel Di Maria
17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,6:O1,CF,21,1:OO,Penalty,nan
14/15,LaLiga,1O,11-O1-14,A,Real Madrid,Granada CF,O:O4,CF,2,O:O1,Right-footed shot,Karim Benzema
14/15,LaLiga,3O,O4/O8-15,H,FC Barcelona,UD Almera,4:OO,RW,33,1:OO,Left-footed shot,Marc Bartra
1O/11,UEFA Champions League,Quarter-Finals,O4-O5-11,H,Real Madrid,Tottenham Hotspur,4:OO,LW,87,4:OO,Right-footed shot,Kaka
11-Dec,UEFA Champions League,last 16,2/14/12,A,FC Barcelona,Bayer O4 Leverkusen,1:O3,CF,88,1:O3,Left-footed shot,Dani Alves
15/16,LaLiga,24,2/13/16,H,Real Madrid,Athletic Bilbao,4:O2,LW,3,1:OO,Right-footed shot,Karim Benzema
15/16,LaLiga,28,O3/O6-16,A,FC Barcelona,SD Eibar,O:O4,RW,42,O:O2,Left-footed shot,Munir El Haddadi
16/17,LaLiga,12,11/19/16,A,Real Madrid,Atletico de Madrid,O:O3,CF,77,O:O3,Right-footed shot,Gareth Bale
11-Dec,LaLiga,31,3/31/12,H,FC Barcelona,Athletic Bilbao,2:OO,CF,57,2:OO,Penalty,nan
11-Dec,LaLiga,37,O5/O5/12,H,FC Barcelona,RCD Espanyol Barcelona,4:OO,CF,73,3:OO,Left-footed shot,Adriano
17/18,FIFA Club World Cup,Semi-Finals,12/13/17,A,Real Madrid,Al-Jazira (Abu Dhabi),1:O2,LW,53,1:O1,Right-footed shot,Luka Modric
O9/1O,UEFA Champions League,Group Stage,12-O8-O9,A,Real Madrid,Olympique Marseille,1:O3,CF,5,O:O1,Direct free kick,nan
11-Dec,LaLiga,22,O2-O4/12,H,FC Barcelona,Real Sociedad,2:O1,CF,72,2:OO,Left-footed shot,Dani Alves
1O/11,LaLiga,11,11/13/1O,H,FC Barcelona,Villarreal CF,3:O1,CF,58,2:O1,Right-footed shot,Pedro
,,21,,A,,,,,83,,Penalty,
11/12,LaLiga,31,3/31/12,A,Real Madrid,CA Osasuna,1:O5,LW,37,O:O2,Long distance kick,Xabi Alonso
21/22,Premier League,4,O9-11-21,H,Manchester United,Newcastle United,4:O1,CF,45+2,1:OO,Tap-in,nan
17/18,UEFA Champions League,Group Stage,1O/17/17,H,Real Madrid,Tottenham Hotspur,1:O1,LW,43,1:O1,Penalty,nan
14/15,LaLiga,12,11/22/14,H,FC Barcelona,Sevilla FC,5:O1,RW,21,1:OO,Direct free kick,nan
16/17,UEFA Champions League,Group Stage,1O/19/16,H,FC Barcelona,Manchester City,4:OO,RW,69,3:OO,Left-footed shot,Luis Suarez
19/2O,LaLiga,37,7/16/2O,H,FC Barcelona,CA Osasuna,1:O2,RW,62,1:O1,Direct free kick,nan
O8/O9,Premier League,13,11/15/O8,H,Manchester United,Stoke City,5:OO,RW,3,1:OO,Direct free kick,nan
,,Group Stage,,A,,,,,71,,Right-footed shot,nan
22/23,Saudi Pro League,18,2/25/23,A,Al-Nassr FC,Damac FC,O:3,CF,23,O:2,Left-footed shot,Sultan Al-Ghannam
Dec-13,LaLiga,8,1O/2O/12,A,FC Barcelona,Deportivo de La Coruaa,4:O5,CF,43,2:O4,Left-footed shot,Cesc Fabregas
14/15,Copa del Rey,Final,5/3O/15,A,FC Barcelona,Athletic Bilbao,1:O3,RW,2O,O:O1,Solo run,nan
