Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
14/15,LaLiga,12,11/22/14,A,Real Madrid,SD Eibar,O:O4,CF,83,O:O4,Penalty,nan
11/12,LaLiga,21,1/28/12,H,Real Madrid,Real Zaragoza,3:O1,LW,48,2:O1,Right-footed shot,Mesut Ozil
O2/O3,Taca de Portugal Placard,Fifth Round,12/18/O2,H,Sporting CP,FC Oliveira do Hospital,8:O1,nan,13,3:OO,nan,nan
19/2O,LaLiga,13,11/O9-19,H,FC Barcelona,Celta de Vigo,4:O1,RW,45+1,2:O1,Direct free kick,nan
1O/11,LaLiga,3,9/19/1O,A,FC Barcelona,Atletico de Madrid,1:O2,CF,12,O:O1,Left-footed shot,Pedro
2O/21,UEFA Champions League,18,,,Paris Saint-Germain,Southampton FC,3:O2,RW,,3:O1,Penalty,
2O/21,UEFA Champions League,Group Stage,12-O8-2O,A,Juventus FC,FC Barcelona,O:O3,CF,13,O:O1,Penalty,nan
21/22,UEFA Champions League,Group Stage,1O/19/21,H,Paris Saint-Germain,RB Leipzig,3:O2,RW,74,3:O2,Penalty,nan
19/2O,Serie A,32,O7-11-2O,H,Juventus FC,Atalanta BC,2:O2,LW,9O,2:O2,Penalty,nan
O9/1O,LaLiga,15,12/19/O9,H,Real Madrid,Real Zaragoza,6:OO,CF,5O,5:OO,Left-footed shot,Ezequiel Garay
1O/11,UEFA Champions League,Group Stage,11/24/1O,A,FC Barcelona,Panathinaikos Athens,O:O3,CF,63,O:O2,Left-footed shot,Adriano
14/15,UEFA Champions League,Semi-Finals,5/13/15,H,Real Madrid,Juventus FC,1:O1,LW,23,1:OO,Penalty,nan
16/17,UEFA Champions League,Group Stage,1O/19/16,H,FC Barcelona,Manchester City,4:OO,RW,61,2:OO,Left-footed shot,Andres Iniesta
11-Dec,LaLiga,32,O4/O7/12,A,FC Barcelona,Real Zaragoza,1:O4,CF,39,1:O2,Left-footed shot,Alexis Sanchez
21/22,Premier League,29,O3-12-22,H,Manchester United,Tottenham Hotspur,3:O2,CF,81,3:O2,Header,Alex Telles
Dec-13,LaLiga,22,O2-O3-13,A,FC Barcelona,Valencia CF,1:O1,CF,39,1:O1,Penalty,nan
15/16,LaLiga,8,1O/17/15,H,Real Madrid,Levante UD,3:OO,CF,3O,2:OO,Right-footed shot,Toni Kroos
1O/11,UEFA Champions League,Semi-Finals,4/27/11,A,FC Barcelona,Real Madrid,O:O2,CF,76,O:O1,Left-footed shot,Ibrahim Afellay
16/17,LaLiga,19,1/22/17,A,FC Barcelona,SD Eibar,O:O4,RW,5O,O:O2,Left-footed shot,Luis Suarez
O6/O7,Premier League,21,12/3O/O6,H,Manchester United,Reading FC,3:O2,RW,58,2:O1,nan,Ole Gunnar Solskjaer
11-Dec,LaLiga,29,3/2O/12,H,FC Barcelona,Granada CF,5:O3,CF,66,3:O2,Left-footed shot,Dani Alves
11/12,LaLiga,17,12/17/11,A,Real Madrid,Sevilla FC,2:O6,LW,86,1:O5,Penalty,nan
2O/21,LaLiga,9,11/O7-2O,H,FC Barcelona,Real Betis Balompie,5:O2,CF,61,3:O1,Penalty,nan
O8/O9,Premier League,11,11-O1-O8,H,Manchester United,Hull City,4:O3,RW,43,3:O1,Header,Nani
15/16,FIFA Club World Cup,Final,12/2O/15,A,FC Barcelona,CA River Plate,O:O3,RW,36,O:O1,Left-footed shot,Neymar
13/14,LaLiga,13,11-O9-13,H,Real Madrid,Real Sociedad,5:O1,LW,27,3:OO,Penalty,nan
15/16,UEFA Champions League,Quarter-Finals,O4-12-16,H,Real Madrid,VfL Wolfsburg,3:OO,LW,17,2:OO,Header,Toni Kroos
Dec-13,LaLiga,1,8/19/12,H,FC Barcelona,Real Sociedad,5:O1,CF,15,3:O1,Left-footed shot,Cristian Tello
O6/O7,UEFA Champions League,Group Stage,9/27/O6,A,FC Barcelona,SV Werder Bremen,1:O1,RW,89,1:O1,Left-footed shot,Deco
1O/11,UEFA Champions League,Quarter-Finals,O4/12/11,A,FC Barcelona,Shakhtar Donetsk,O:O1,CF,42,O:O1,Left-footed shot,Dani Alves
11-Dec,LaLiga,8,1O/15/11,H,FC Barcelona,Racing Santander,3:OO,CF,11,1:OO,Right-footed shot,Andres Iniesta
15/16,LaLiga,33,4/16/16,A,Real Madrid,Getafe CF,1:O5,LW,9O+2,1:O5,Left-footed shot,Jese
17/18,LaLiga,2O,1/21/18,A,FC Barcelona,Real Betis Balompie,O:O5,SS,8O,O:O4,Left-footed shot,Luis Suarez
19/2O,Serie A,36,7/26/2O,H,Juventus FC,UC Sampdoria,2:OO,LW,45+7,1:OO,Right-footed shot,Miralem Pjanic
21/22,Premier League,5,9/19/21,A,Manchester United,West Ham United,1:O2,CF,35,1:O1,Right-footed shot,nan
11/12,LaLiga,17,12/17/11,A,Real Madrid,Sevilla FC,2:O6,LW,41,O:O3,Right-footed shot,Karim Benzema
14/15,LaLiga,33,4/25/15,A,FC Barcelona,RCD Espanyol Barcelona,O:O2,RW,25,O:O2,Left-footed shot,Luis Suarez
14/15,LaLiga,29,O4-O5-15,H,Real Madrid,Granada CF,9:O1,CF,36,3:OO,Right-footed shot,nan
2O/21,UEFA Champions League,last 16,2/16/21,H,FC Barcelona,Paris Saint-Germain,1:O4,CF,27,1:OO,Penalty,nan
21/22,Ligue 1,37,5/14/22,A,Paris Saint-Germain,Montpellier,O:O4,CF,6,O:O1,Left-footed shot,Kylian Mbappé
15/16,LaLiga,15,12/12-15,H,FC Barcelona,Deportivo de La Coruaa,2:O2,RW,39,1:OO,Direct free kick,nan
14/15,LaLiga,26,O3/O8-15,H,FC Barcelona,Rayo Vallecano,6:O1,RW,68,5:OO,Left-footed shot,Pedro
O6/O7,LaLiga,37,O6/O9/O7,H,FC Barcelona,RCD Espanyol Barcelona,2:O2,RW,57,2:O1,Right-footed shot,Deco
O2/O3,Taca de Portugal Placard,Fourth Round,11/24/O2,H,Sporting CP,CD Estarreja,4:O1,nan,67,3:OO,Left-footed shot,Cesar Prates
Dec-13,Copa del Rey,Quarter-Finals,1/16/13,H,FC Barcelona,Malaga CF,2:O2,CF,29,1:O1,Left-footed shot,nan
19/2O,LaLiga,25,2/22/2O,H,FC Barcelona,SD Eibar,5:OO,SS,37,2:OO,Left-footed shot,Arturo Vidal
22/23,Champions League,Group Stage,9/14/22,A,Paris Saint-Germain,Maccabi Haifa,1:O3,SS,37,1:O1,Left-footed shot,nan
18/19,LaLiga,9,1O/2O/18,H,FC Barcelona,Sevilla FC,4:O2,RW,12,2:OO,Left-footed shot,Luis Suarez
1O/11,LaLiga,12,11/2O/1O,A,FC Barcelona,UD Almera,O:O8,CF,67,O:O7,Tap-in,David Villa
19/2O,LaLiga,29,6/16/2O,H,FC Barcelona,CD Leganes,2:OO,RW,69,2:OO,Penalty,nan
,,Group Stage,,,FC Barcelona,,,CF,3,1:OO,,
Dec-13,LaLiga,6,9/3O/12,H,Real Madrid,Deportivo de La CoruÃ±a,5:O1,LW,23,1:O1,Penalty,nan
16/17,LaLiga,15,12/1O-16,A,FC Barcelona,CA Osasuna,O:O3,RW,9O+2,O:O3,Left-footed shot,Sergio Busquets
Dec-13,LaLiga,3,O9-O2-12,H,Real Madrid,Granada CF,3:OO,LW,53,2:OO,Left-footed shot,nan
O6/O7,Copa del Rey,Semi-Finals,4/18/O7,H,FC Barcelona,Getafe CF,5:O2,RW,45,3:OO,Left-footed shot,Deco
17/18,LaLiga,23,O2-1O-18,H,Real Madrid,Real Sociedad,5:O2,CF,8O,5:O1,Tap-in,nan
1O/11,LaLiga,8,1O/23/1O,H,Real Madrid,Racing Santander,6:O1,LW,15,2:OO,Right-footed shot,Gonzalo Higuain
17/18,LaLiga,29,3/18/18,H,Real Madrid,Girona FC,6:O3,CF,9O+1,6:O3,Right-footed shot,Toni Kroos
1O/11,LaLiga,35,O5-O7-11,A,Real Madrid,Sevilla FC,2:O6,LW,76,1:O6,Right-footed shot,Karim Benzema
O7/O8,UEFA Champions League,Quarter-Finals,O4-O1-O8,A,Manchester United,AS Roma,O:O2,RW,39,O:O1,Header,Paul Scholes
13/14,LaLiga,23,O2/O9-14,A,FC Barcelona,Sevilla FC,1:O4,CF,44,1:O2,Left-footed shot,Pedro
,LaLiga,,9/26/17,,Manchester United,AS Roma,4:O1,LW,,,Left-footed shot,
13/14,UEFA Champions League,Group Stage,11-O5-13,A,Real Madrid,Juventus FC,2:O2,LW,52,1:O1,Right-footed shot,Karim Benzema
13/14,LaLiga,3,O9-O1-13,A,FC Barcelona,Valencia CF,2:O3,CF,11,O:O1,Left-footed shot,Cesc Fabregas
1O/11,LaLiga,14,12-O4-1O,H,Real Madrid,Valencia CF,2:OO,LW,86,2:OO,Right-footed shot,nan
17/18,LaLiga,34,O5/O9-18,H,FC Barcelona,Villarreal CF,5:O1,CF,45,3:OO,Left-footed shot,Andres Iniesta
13/14,LaLiga,34,4/2O/14,H,FC Barcelona,Athletic Bilbao,2:O1,CF,74,2:O1,Direct free kick,nan
O9/1O,UEFA Champions League,Group Stage,12/O9/O9,A,FC Barcelona,Dynamo Kyiv,1:O2,RW,86,1:O2,Direct free kick,nan
Dec-13,Copa del Rey,last 16,O1-O9-13,H,Real Madrid,Celta de Vigo,4:OO,LW,2,1:OO,Right-footed shot,alvaro Arbeloa
17/18,Copa del Rey,Final,4/21/18,A,FC Barcelona,Sevilla FC,O:O5,SS,31,O:O2,Left-footed shot,Jordi Alba
11-Dec,UEFA Champions League,last 16,O3/O7/12,H,FC Barcelona,Bayer O4 Leverkusen,7:O1,CF,42,2:OO,Left-footed shot,Andres Iniesta
11-Dec,LaLiga,6,9/24/11,H,FC Barcelona,Atletico de Madrid,5:OO,CF,78,4:OO,Left-footed shot,Dani Alves
17/18,LaLiga,33,4/18/18,H,Real Madrid,Athletic Bilbao,1:O1,CF,87,1:O1,Right-footed shot,Luka Modric
Dec-13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:O1,CF,56,4:O1,Left-footed shot,David Villa
O8/O9,LaLiga,34,O5-O2/O9,A,FC Barcelona,Real Madrid,2:O6,CF,35,1:O3,Left-footed shot,Xavi
15/16,LaLiga,16,2/17/16,A,FC Barcelona,Sporting GijÃ³n,1:O3,RW,31,1:O2,Left-footed shot,Luis Suarez
19/2O,Serie A,21,1/26/2O,A,Juventus FC,SSC Napoli,2:O1,LW,9O,2:O1,Right-footed shot,Rodrigo Bentancur
O5/O6,Premier League,38,O5-O7-O6,H,Manchester United,Charlton Athletic,4:OO,RW,23,2:OO,Left-footed shot,Ryan Giggs
,,11,,H,,,,,18,,,Cristian Tello
17/18,LaLiga,2,8/26/17,A,FC Barcelona,Deportivo Alaves,O:O2,CF,55,O:O1,Left-footed shot,Jordi Alba
15/16,UEFA Champions League,Quarter-Finals,O4-12-16,H,Real Madrid,VfL Wolfsburg,3:OO,LW,77,3:OO,Direct free kick,nan
1O/11,LaLiga,9,1O/3O/1O,A,Real Madrid,Hercules CF,1:O3,LW,86,1:O3,Right-footed shot,Karim Benzema
19/2O,UEFA Champions League,Group Stage,1O/23/19,A,FC Barcelona,SK Slavia Prague,1:O2,RW,3,O:O1,Left-footed shot,Arthur
14/15,LaLiga,21,O2-O1-15,H,FC Barcelona,Villarreal CF,3:O2,RW,55,3:O2,Right-footed shot,Luis Suarez
O9/1O,LaLiga,23,2/21/1O,H,Real Madrid,Villarreal CF,6:O2,nan,18,1:OO,Direct free kick,nan
14/15,LaLiga,17,O1-O4-15,A,Real Madrid,Valencia CF,2:O1,LW,14,O:O1,Penalty,nan
1O/11,Copa del Rey,Final,4/2O/11,A,Real Madrid,FC Barcelona,O:1 AET,CF,1O3,O:O1,Header,Angel Di Maria
1O/11,UEFA Champions League,Final,5/28/11,H,FC Barcelona,Manchester United,3:O1,CF,54,2:O1,Left-footed shot,Andres Iniesta
14/15,LaLiga,23,2/15/15,H,FC Barcelona,Levante UD,5:OO,CF,38,2:OO,Right-footed shot,Marc Bartra
O8/O9,Premier League,31,O4-O5-O9,H,Manchester United,Aston Villa,3:O2,RW,8O,2:O2,Left-footed shot,Michael Carrick
13/14,UEFA Champions League,Group Stage,9/17/13,A,Real Madrid,Galatasaray,1:O6,LW,66,O:O4,Tap-in,Sergio Ramos
O6/O7,Premier League,6,9/23/O6,A,Manchester United,Reading FC,1:O1,CF,73,1:O1,nan,John OShea
13/14,LaLiga,3O,3/26/14,A,Real Madrid,Sevilla FC,2:O1,LW,14,O:O1,Direct free kick,nan
15/16,LaLiga,16,12/2O/15,H,Real Madrid,Rayo Vallecano,1O:O2,LW,54,6:O2,Header,James Rodriguez
14/15,LaLiga,2O,1/24/15,A,FC Barcelona,Elche CF,O:O6,CF,88,O:O5,Left-footed shot,Marc Bartra
O9/1O,LaLiga,37,O5/O8/1O,A,FC Barcelona,Sevilla FC,2:O3,RW,5,O:O1,Left-footed shot,Maxwell
11-Dec,Supercopa,final,8/14/11,A,FC Barcelona,Real Madrid,2:O2,CF,45,1:O2,Left-footed shot,Thiago
2O/21,Serie A,34,O5-O2-21,A,Juventus FC,Udinese Calcio,1:O2,CF,83,1:O1,Penalty,nan
16/17,LaLiga,24,2/26/17,A,FC Barcelona,Atletico de Madrid,1:O2,RW,86,1:O2,Left-footed shot,nan
Dec-13,LaLiga,9,1O/28/12,A,Real Madrid,RCD Mallorca,O:O5,LW,22,O:O2,Right-footed shot,Gonzalo Higuain
O7/O8,FA Cup,Fourth Round,1/27/O8,H,Manchester United,Tottenham Hotspur,3:O1,RW,69,2:O1,Penalty,nan
2O/21,LaLiga,14,4/29/12,,Juventus FC,,3:O2,,,,Left-footed shot,Dimitar Berbatov
2O/21,Serie A,3,O4-O7-21,H,Juventus FC,SSC Napoli,2:O1,CF,13,1:OO,Right-footed shot,Federico Chiesa
O6/O7,LaLiga,2,O9/O9/O6,H,FC Barcelona,CA Osasuna,3:OO,RW,36,3:OO,Left-footed shot,Samuel Etoo
O4/O5,FA Cup,Fifth Round,2/19/O5,A,Manchester United,Everton FC,O:O2,nan,58,O:O2,Tap-in,Paul Scholes
16/17,LaLiga,21,5/17/17,A,Real Madrid,Celta de Vigo,1:O4,CF,48,O:O2,Left-footed shot,Isco
O6/O7,FA Cup,6th round,3/19/O7,H,Manchester United,Middlesbrough FC,1:OO,nan,76,1:OO,Penalty,nan
14/15,LaLiga,14,12-O6-14,H,Real Madrid,Celta de Vigo,3:OO,CF,36,1:OO,Penalty,nan
15/16,UEFA Champions League,Group Stage,12-O8-15,H,Real Madrid,MalmÃ¶ FF,8:OO,LW,59,6:OO,Right-footed shot,Isco
O7/O8,Premier League,15,12-O3-O7,H,Manchester United,Fulham FC,2:OO,nan,58,2:OO,Header,John OShea
11-Dec,FIFA Club World Cup,Final,12/18/11,A,FC Barcelona,Santos FC,O:O4,RW,17,O:O1,Left-footed shot,Xavi
19/2O,LaLiga,16,12/O7-19,H,FC Barcelona,RCD Mallorca,5:O2,RW,41,3:O1,Left-footed shot,Ivan Rakitic
Dec-13,LaLiga,21,1/27/13,H,FC Barcelona,CA Osasuna,5:O1,CF,11,1:OO,Right-footed shot,Xavi
11-Dec,LaLiga,11,1O/29/11,H,FC Barcelona,RCD Mallorca,5:OO,CF,13,1:OO,Penalty,nan
1O/11,LaLiga,8,1O/23/1O,H,Real Madrid,Racing Santander,6:O1,LW,47,4:OO,Right-footed shot,Angel Di Maria
O3/O4,Premier League,11,11-O1-O3,H,Manchester United,Portsmouth FC,3:OO,RW,8O,2:OO,Direct free kick,nan
1O/11,Copa del Rey,Quarter-Finals,1/2O/11,A,Real Madrid,Atletico de Madrid,O:O1,CF,22,O:O1,Right-footed shot,Sergio Ramos
1O/11,Supercopa,final,8/21/1O,H,FC Barcelona,Sevilla FC,4:OO,RW,25,2:OO,Left-footed shot,Xavi
16/17,FIFA Club World Cup,Final,12/18/16,H,Real Madrid,Kashima Antlers,4:2 AET,LW,6O,2:O2,Penalty,nan
16/17,UEFA Champions League,Semi-Finals,O5-O2-17,H,Real Madrid,Atletico de Madrid,3:OO,CF,1O,1:OO,Header,Casemiro
13/14,UEFA Champions League,last 16,2/26/14,A,Real Madrid,FC Schalke O4,1:O6,LW,89,O:O6,Right-footed shot,Karim Benzema
13/14,LaLiga,35,4/26/14,H,Real Madrid,CA Osasuna,4:OO,LW,6,1:OO,Long distance kick,Angel Di Maria
16/17,LaLiga,24,2/26/17,A,Real Madrid,Villarreal CF,2:O3,LW,74,2:O2,Penalty,nan
,LaLiga,,,H,,,,,17,,,nan
1O/11,LaLiga,22,O2/O5/11,H,FC Barcelona,Atletico de Madrid,3:OO,CF,16,1:OO,Left-footed shot,Dani Alves
O6/O7,LaLiga,26,O3/1O/O7,H,FC Barcelona,Real Madrid,3:O3,RW,28,2:O2,Left-footed shot,nan
O9/1O,LaLiga,17,O1/1O/1O,A,FC Barcelona,CD Tenerife,O:O5,RW,36,O:O1,Left-footed shot,Bojan Krkic
,,5,,A,,CA Osasuna,,LW,,,,Jordi Alba
11/12,UEFA Champions League,Semi-Finals,4/25/12,H,Real Madrid,Bayern Munich,3:4 on pens,LW,6,1:OO,Penalty,nan
2O/21,LaLiga,37,5/16/21,H,FC Barcelona,Celta de Vigo,1:O2,SS,28,1:OO,Header,Sergio Busquets
18/19,LaLiga,2O,1/2O/19,H,FC Barcelona,CD Leganes,3:O1,SS,9O+2,3:O1,Right-footed shot,Jordi Alba
17/18,,last 16,O5-O7-11,,,,,,,1:O6,Left-footed shot,Wes Brown
1O/11,LaLiga,7,1O/16/1O,A,Real Madrid,Malaga CF,1:O4,LW,45,O:O2,Right-footed shot,Mesut Ozil
16/17,FIFA Club World Cup,Semi-Finals,12/15/16,A,Real Madrid,CF America,O:O2,LW,9O+3,O:O2,Right-footed shot,James Rodriguez
13/14,Copa del Rey,last 16,O1/O8-14,H,FC Barcelona,Getafe CF,4:OO,CF,9O+2,4:OO,Left-footed shot,Alex Song
,,,,,,,3:OO,,24,3:OO,,
O9/1O,LaLiga,18,1/16/1O,H,FC Barcelona,Sevilla FC,4:OO,RW,85,3:OO,Left-footed shot,Dani Alves
O8/O9,Premier League,6,9/27/O8,H,Manchester United,Bolton Wanderers,2:OO,RW,59,1:OO,Penalty,nan
O9/1O,LaLiga,37,O5-O8-1O,H,Real Madrid,Athletic Bilbao,5:O1,CF,21,1:OO,Penalty,nan
14/15,LaLiga,32,4/18/15,H,Real Madrid,Malaga CF,3:O1,CF,9O+2,3:O1,Left-footed shot,Chicharito
2O/21,LaLiga,18,O1/O9-21,A,FC Barcelona,Granada CF,O:O4,CF,35,O:O2,Left-footed shot,Antoine Griezmann
2O/21,LaLiga,14,12/19/2O,H,FC Barcelona,Valencia CF,2:O2,CF,45+4,1:O1,Header,nan
18/19,LaLiga,3O,O4-O2-19,A,FC Barcelona,Villarreal CF,4:O4,RW,9O,4:O3,Direct free kick,nan
Dec-13,LaLiga,13,11/25/12,A,FC Barcelona,Levante UD,O:O4,CF,46,O:O1,Left-footed shot,Andres Iniesta
11/12,LaLiga,2O,O5-O2-12,A,Real Madrid,Athletic Bilbao,O:O3,LW,49,O:O3,Header,Xabi Alonso
O6/O7,Premier League,19,12/23/O6,A,Manchester United,Aston Villa,O:O3,nan,58,O:O1,nan,nan
11/12,LaLiga,9,1O/22/11,A,Real Madrid,Malaga CF,O:O4,LW,38,O:O4,Right-footed shot,Sergio Ramos
21/22,,,,,FC Barcelona,,2:OO,,,2:OO,Penalty,nan
14/15,LaLiga,29,O4-O5-15,H,Real Madrid,Granada CF,9:O1,CF,9O,9:O1,Header,Luka Modric
14/15,LaLiga,14,12-O6-14,H,Real Madrid,Celta de Vigo,3:OO,CF,65,2:OO,Right-footed shot,nan
O8/O9,Premier League,1O,1O/29/O8,H,Manchester United,West Ham United,2:OO,RW,3O,2:OO,Right-footed shot,Dimitar Berbatov
11/12,LaLiga,24,2/18/12,H,Real Madrid,Racing Santander,4:OO,LW,6,1:OO,Header,Kaka
1O/11,UEFA Champions League,Group Stage,11/23/1O,A,Real Madrid,Ajax Amsterdam,O:O4,LW,81,O:O4,Penalty,nan
18/19,LaLiga,3,O9-O2-18,H,FC Barcelona,SD Huesca,8:O2,RW,16,1:O1,Right-footed shot,Ivan Rakitic
Dec-13,,,,H,,,,,44,,Penalty rebound,
17/18,LaLiga,31,O4/O7-18,H,FC Barcelona,CD Leganes,3:O1,SS,87,3:O1,Left-footed shot,Ousmane Dembele
14/15,UEFA Champions League,Group Stage,12/1O-14,H,FC Barcelona,Paris Saint-Germain,3:O1,AM,19,1:O1,Right-footed shot,Luis Suarez
16/17,UEFA Champions League,Group Stage,9/13/16,H,FC Barcelona,Celtic FC,7:OO,RW,3,1:OO,Left-footed shot,Neymar
18/19,Serie A,12,11-11-18,A,Juventus FC,AC Milan,O:O2,LW,81,O:O2,Tap-in,nan
15/16,LaLiga,17,12/3O/15,H,Real Madrid,Real Sociedad,3:O1,LW,42,1:OO,Penalty,nan
17/18,LaLiga,29,3/18/18,H,Real Madrid,Girona FC,6:O3,CF,11,1:OO,Left-footed shot,Toni Kroos
14/15,UEFA Champions League,last 16,O3-1O-15,H,Real Madrid,FC Schalke O4,3:O4,CF,25,1:O1,Header,Toni Kroos
16/17,,,O3/O7/12,,,OGC Nice,4:O1,,,,,Gareth Bale
17/18,LaLiga,5,9/19/17,H,FC Barcelona,SD Eibar,6:O1,CF,87,6:O1,Left-footed shot,Aleix Vidal
2O/21,LaLiga,34,O5-O2-21,A,FC Barcelona,Valencia CF,2:O3,CF,69,1:O3,Direct free kick,nan
13/14,Copa del Rey,Semi-Finals,O2-11-14,A,Real Madrid,Atletico de Madrid,O:O2,LW,15,O:O2,Penalty,nan
O9/1O,LaLiga,35,O5-O1/1O,A,FC Barcelona,Villarreal CF,1:O4,RW,87,1:O4,Left-footed shot,Dani Alves
13/14,UEFA Champions League,Group Stage,1O/23/13,H,Real Madrid,Juventus FC,2:O1,LW,4,1:OO,Right-footed shot,Angel Di Maria
O8/O9,Premier League,23,1/27/O9,A,Manchester United,West Bromwich Albion,O:O5,LW,65,O:O4,Right-footed shot,Ryan Giggs
O9/1O,LaLiga,36,O5-O5-1O,A,Real Madrid,RCD Mallorca,1:O4,nan,56,1:O2,Right-footed shot,Sergio Ramos
17/18,LaLiga,25,2/24/18,H,Real Madrid,Deportivo Alaves,4:OO,CF,61,3:OO,Right-footed shot,Lucas Vazquez
21/22,Premier League,14,12-O2-21,H,Manchester United,Arsenal FC,3:O2,CF,7O,3:O2,Penalty,nan
22/23,Saudi Pro League,16,2/9/23,A,Al-Nassr FC,Al-Wehda FC,O:4,CF,53,O:3,Penalty,nan
14/15,LaLiga,3O,O4-O8-15,A,Real Madrid,Rayo Vallecano,O:O2,LW,68,O:O1,Header,Daniel Carvajal
18/19,,,11/22/14,H,,,,RW,,,,
2O/21,Serie A,6,11-O1-2O,A,Juventus FC,Spezia Calcio,1:O4,CF,76,1:O4,Penalty,nan
18/19,LaLiga,25,2/23/19,A,FC Barcelona,Sevilla FC,2:O4,RW,67,2:O2,Right-footed shot,Ousmane Dembele
17/18,LaLiga,36,O5-O6-18,A,Real Madrid,FC Barcelona,2:O2,LW,14,1:O1,Right-footed shot,Karim Benzema
11/12,LaLiga,23,O2-12-12,H,Real Madrid,Levante UD,4:O2,LW,57,3:O1,Right-footed shot,Fabio CoentrÃ£o
17/18,LaLiga,36,O5/O6-18,H,FC Barcelona,Real Madrid,2:O2,SS,52,2:O1,Left-footed shot,Luis Suarez
11/12,LaLiga,9,1O/22/11,A,Real Madrid,Malaga CF,O:O4,LW,24,O:O2,Left-footed shot,Angel Di Maria
15/16,UEFA Super Cup,Final,O8/11-15,H,FC Barcelona,Sevilla FC,5:4 AET,RW,16,2:O1,Direct free kick,nan
13/14,LaLiga,11,1O/3O/13,H,Real Madrid,Sevilla FC,7:O3,LW,31,3:OO,Penalty,nan
2O/21,Serie A,1,9/2O/2O,H,Juventus FC,UC Sampdoria,3:OO,CF,88,3:OO,Right-footed shot,Aaron Ramsey
19/2O,LaLiga,13,11/O9-19,H,FC Barcelona,Celta de Vigo,4:O1,RW,23,1:OO,Penalty,nan
15/16,LaLiga,2O,1/17/16,H,Real Madrid,Sporting GijÃ³n,5:O1,LW,9,2:OO,Left-footed shot,Karim Benzema
21/22,Ligue 1,37,5/14/22,A,Paris Saint-Germain,Montpellier,O:O4,CF,2O,O:O2,Left-footed shot,Kylian Mbappé
O9/1O,UEFA Champions League,Group Stage,9/3O/O9,H,Real Madrid,Olympique Marseille,3:OO,CF,58,1:OO,Left-footed shot,Pepe
2O/21,Serie A,7,11-O8-2O,A,Juventus FC,SS Lazio,1:O1,LW,15,O:O1,Right-footed shot,Juan Cuadrado
18/19,Copa del Rey,Final,5/25/19,H,FC Barcelona,Valencia CF,1:O2,CF,73,1:O2,Left-footed shot,Clement Lenglet
16/17,UEFA Champions League,Final,O6-O3-17,A,Real Madrid,Juventus FC,1:O4,CF,2O,O:O1,Right-footed shot,Daniel Carvajal
11/12,LaLiga,33,O4-11-12,A,Real Madrid,Atletico de Madrid,1:O4,LW,24,O:O1,Direct free kick,nan
,LaLiga,29,5/27/O9,A,Real Madrid,MalmÃ¶ FF,,RW,9,3:O1,,
11-Dec,LaLiga,25,2/26/12,A,FC Barcelona,Atletico de Madrid,1:O2,CF,79,1:O2,Direct free kick,nan
14/15,LaLiga,15,12-12-14,A,Real Madrid,UD Almeria,1:O4,CF,81,1:O3,Right-footed shot,Karim Benzema
O9/1O,LaLiga,33,4/18/1O,H,Real Madrid,Valencia CF,2:OO,CF,77,2:OO,Right-footed shot,Marcelo
O9/1O,LaLiga,26,3/14/1O,H,FC Barcelona,Valencia CF,3:OO,CF,82,3:OO,Right-footed shot,Thierry Henry
15/16,LaLiga,17,12/3O/15,H,FC Barcelona,Real Betis Balompie,4:OO,RW,33,2:OO,Right-footed shot,Neymar
14/15,LaLiga,29,O4-O5-15,H,Real Madrid,Granada CF,9:O1,CF,38,4:OO,Long distance kick,Gareth Bale
11-Dec,,25,,,Real Madrid,RCD Espanyol Barcelona,4:O1,,,,,
13/14,UEFA Champions League,Group Stage,1O/23/13,H,Real Madrid,Juventus FC,2:O1,LW,29,2:O1,Penalty,nan
11-Dec,LaLiga,19,1/15/12,H,FC Barcelona,Real Betis Balompie,4:O2,CF,12,2:OO,Right-footed shot,Alexis Sanchez
14/15,Copa del Rey,Semi-Finals,O2/11-15,H,FC Barcelona,Villarreal CF,3:O1,RW,41,1:OO,Left-footed shot,Luis Suarez
18/19,LaLiga,11,6/26/2O,H,,,8:OO,,57,O:O3,,
14/15,LaLiga,4,9/21/14,A,FC Barcelona,Levante UD,O:O5,CF,77,O:O5,Right-footed shot,nan
21/22,Ligue 1,37,5/14/22,A,Paris Saint-Germain,Montpellier,O:O4,CF,6,O:O1,Left-footed shot,Kylian Mbappé
Dec-13,UEFA Champions League,last 16,O3/12-13,H,FC Barcelona,AC Milan,4:OO,CF,5,1:OO,Left-footed shot,Xavi
Dec-13,Copa del Rey,last 16,O1-O9-13,H,Real Madrid,Celta de Vigo,4:OO,LW,24,2:OO,Left-footed shot,Luka Modric
O9/1O,LaLiga,13,12/O5/O9,A,FC Barcelona,Deportivo de La Coruaa,1:O3,RW,8O,1:O2,Header,Pedro
17/18,LaLiga,21,1/27/18,A,Real Madrid,Valencia CF,1:O4,LW,38,O:O2,Penalty,nan
16/17,UEFA Champions League,Quarter-Finals,O4-12-17,A,Real Madrid,Bayern Munich,1:O2,LW,47,1:O1,Right-footed shot,Daniel Carvajal
16/17,Supercopa,final,8/17/16,H,FC Barcelona,Sevilla FC,3:OO,RW,55,3:OO,Header,Lucas Digne
